Product Name,Short Description,Description,Category,Subcategory,Brand,SKU,Barcode,Price (INR),Compare At Price (MRP),Cost Price,GST Rate (%),HSN Code,Stock,Weight (grams),Unit,Shipping Weight (g),Min Order Qty,Max Order Qty,Country of Origin,Shelf Life,Best Before,Ingredients,Allergens,Certifications,Is Organic,Is Vegan,Is Gluten Free,Manufacturer,Tags,Product Type,Meta Title,Meta Description,Video URL,Visibility,Image URLs,Happilo Handle
Happilo Premium Raw Authentic Chia Seeds 500g,"Premium raw chia seeds 500g, superfood, rich in Omega-3 and fibre","Happilo's Premium Raw Chia Seeds 500g. Superfood packed with Omega-3 fatty acids, fibre and plant protein. Non-GMO, gluten-free.",Seeds,Chia,Happilo,HAP-CHI-500,,449,579,342,5,1207,100,500,g,520,1,10,India,12 months,,Chia Seeds,,"FSSAI,Non-GMO,Gluten Free",Yes,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"chia seeds,500g,omega 3,superfood,seeds",seeds,Buy Happilo Premium Chia Seeds 500g,"500g premium raw chia seeds, rich in Omega-3. Non-GMO, gluten-free superfood.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918026/lotusmart/products/happilo/hap-chi-500.jpg,happilo-premium-raw-organic-authentic-chia-seeds-250g
Happilo Premium Authentic Flax Seeds Roasted 200g,"Premium roasted flax seeds (alsi), rich in Omega-3 and lignans","Happilo's Premium Roasted Flax Seeds (Alsi) are rich in Omega-3 fatty acids, lignans and dietary fibre. Roasted for better digestibility and flavour. Gluten-free, non-GMO.",Seeds,Flax,Happilo,HAP-FLX-RST-200,,149,199,114,5,1204,100,200,g,220,1,10,India,12 months,,Roasted Flax Seeds,,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"flax seeds,alsi,roasted flax,omega 3,seeds,lignans",seeds,Buy Happilo Roasted Flax Seeds 200g,"Premium roasted flax seeds, rich in Omega-3 and lignans. Gluten-free.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918029/lotusmart/products/happilo/hap-flx-rst-200.jpg,happilo-premium-authentic-flax-seeds-roasted-250g
Happilo Premium Authentic Flax Seeds Roasted 500g,"Premium roasted flax seeds 500g, rich in Omega-3, fibre and lignans","Happilo's Premium Roasted Flax Seeds 500g. Roasted for better digestibility. Rich in Omega-3, lignans and fibre. Gluten-free.",Seeds,Flax,Happilo,HAP-FLX-RST-500,,299,399,228,5,1204,100,500,g,520,1,10,India,12 months,,Roasted Flax Seeds,,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"flax seeds,500g,omega 3,alsi,roasted",seeds,Buy Happilo Roasted Flax Seeds 500g,500g premium roasted flax seeds. Rich in Omega-3 and lignans. Gluten-free.,,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918379/lotusmart/products/happilo/hap-flx-rst-500.jpg,happilo-premium-authentic-flax-seeds-roasted-250g
Happilo Premium Pumpkin Seeds All Natural 200g,"Premium pumpkin seeds, rich in zinc, magnesium and healthy fats","Happilo's Premium Pumpkin Seeds are all-natural and packed with zinc, magnesium, iron and healthy fats. Great for immunity and heart health. Gluten-free, non-GMO.",Seeds,Pumpkin,Happilo,HAP-PKN-200,,199,259,152,5,1207,100,200,g,220,1,10,India,12 months,,Pumpkin Seeds,,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"pumpkin seeds,zinc,magnesium,seeds,healthy fats",seeds,Buy Happilo Premium Pumpkin Seeds 200g,"Premium pumpkin seeds, rich in zinc and magnesium. Gluten-free, non-GMO.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918383/lotusmart/products/happilo/hap-pkn-200.jpg,happilo-premium-pumpkin-seeds-all-natural-jar-900g
Happilo Premium Pumpkin Seeds All Natural 500g,"Premium pumpkin seeds 500g, rich in zinc, magnesium and healthy fats","Happilo's Premium Pumpkin Seeds 500g. All-natural, packed with zinc, magnesium and iron. Great for immunity and heart health. Gluten-free.",Seeds,Pumpkin,Happilo,HAP-PKN-500,,449,579,342,5,1207,100,500,g,520,1,10,India,12 months,,Pumpkin Seeds,,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"pumpkin seeds,500g,zinc,seeds,magnesium",seeds,Buy Happilo Premium Pumpkin Seeds 500g,"500g premium pumpkin seeds, rich in zinc and magnesium. Gluten-free.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918387/lotusmart/products/happilo/hap-pkn-500.jpg,happilo-premium-pumpkin-seeds-all-natural-jar-900g
Happilo Premium Sunflower Seeds All Natural 250g,"Premium sunflower seeds, rich in Vitamin E and healthy fats","Happilo's Premium Sunflower Seeds are all-natural, packed with Vitamin E, healthy fats and plant protein. Great for snacking and topping salads. Gluten-free.",Seeds,Sunflower,Happilo,HAP-SNF-250,,149,199,114,5,1206,100,250,g,270,1,10,India,12 months,,Sunflower Seeds,,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"sunflower seeds,vitamin e,seeds,healthy fats,snack",seeds,Buy Happilo Premium Sunflower Seeds 250g,"Premium sunflower seeds, rich in Vitamin E and healthy fats. Gluten-free.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918390/lotusmart/products/happilo/hap-snf-250.jpg,happilo-premium-international-nuts-berries
Happilo Premium International Queen Kalmi Dates 250g,"Premium Queen Kalmi dates, soft and naturally sweet, rich in minerals","Happilo's Premium Queen Kalmi Dates are sourced internationally. Soft, juicy and naturally sweet with a rich caramel flavour. Rich in potassium, magnesium and iron. No added sugar.",Dates,Omani,Happilo,HAP-DT-KLM-250,,299,399,228,5,0804,100,250,g,270,1,10,India,12 months,,Dates (Kalmi),,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"dates,kalmi dates,khajoor,dry fruits,natural sweet",dates,Buy Happilo Premium Queen Kalmi Dates 250g,"Premium Queen Kalmi dates, soft and naturally sweet, rich in minerals.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918041/lotusmart/products/happilo/hap-dt-klm-250.jpg,premium-international-queen-kalmi-dates
Happilo Premium International Queen Kalmi Dates 500g,"Premium Queen Kalmi dates 500g, naturally sweet, rich in potassium","Happilo's Premium Queen Kalmi Dates 500g. Soft, juicy and naturally sweet. Rich in potassium, magnesium and iron. No added sugar.",Dates,Omani,Happilo,HAP-DT-KLM-500,,549,729,418,5,0804,100,500,g,520,1,10,India,12 months,,Dates,,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"dates,kalmi,500g,khajoor,natural sweet",dates,Buy Happilo Premium Queen Kalmi Dates 500g,"500g premium Queen Kalmi dates. Naturally sweet, rich in potassium.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918043/lotusmart/products/happilo/hap-dt-klm-500.jpg,premium-international-queen-kalmi-dates
Happilo Premium International King Medjoul Dates 250g,"Premium King Medjoul dates, large and luxuriously sweet, rich in fibre","Happilo's Premium King Medjoul Dates are the king of dates — large, plump and luxuriously sweet. Rich in fibre, potassium and natural energy. Perfect as a healthy dessert.",Dates,Arabian,Happilo,HAP-DT-MDJ-250,,499,649,380,5,0804,100,250,g,270,1,10,India,12 months,,Medjoul Dates,,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"medjool dates,medjoul,king dates,khajoor,luxury dates",dates,Buy Happilo Premium King Medjoul Dates 250g,"Premium King Medjoul dates, large and luxuriously sweet, rich in fibre.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918046/lotusmart/products/happilo/hap-dt-mdj-250.jpg,happilo-premium-international-king-medjoul-dates
Happilo Premium International Ajwa Dates 250g,"Premium Ajwa dates from Medina, soft and rich in antioxidants","Happilo's Premium Ajwa Dates from Medina. Soft, dark and rich in antioxidants, fibre and natural energy. A revered variety of dates with a unique flavour.",Dates,Ajwa,Happilo,HAP-DT-AJW-250,,699,899,532,5,0804,100,250,g,270,1,10,India,12 months,,Ajwa Dates,,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"ajwa dates,medina dates,khajoor,antioxidants,premium dates",dates,Buy Happilo Premium Ajwa Dates 250g,"Premium Ajwa dates from Medina, rich in antioxidants and fibre.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918402/lotusmart/products/happilo/hap-dt-ajw-250.jpg,happilo-premium-international-ajwa-dates
Happilo Premium Date Bites Original 200g,"Premium stuffed date bites, naturally sweet, bite-sized healthy snack","Happilo's Date Bites are soft premium dates stuffed with wholesome fillings. Naturally sweet, bite-sized and ready to eat. A healthy alternative to sugary sweets.",Dates,Date Bites,Happilo,HAP-DTB-ORG-200,,299,399,228,5,0804,100,200,g,220,1,10,India,9 months,,"Dates, Nuts",Tree Nuts,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"date bites,stuffed dates,healthy sweets,snacks",dates,Buy Happilo Premium Date Bites Original 200g,"Premium stuffed date bites, naturally sweet, healthy alternative to sweets.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918404/lotusmart/products/happilo/hap-dtb-org-200.jpg,happilo-premium-date-bites-cranberry
Happilo Celebration Date Bites Tin 200g,"Premium date bites in elegant tin, perfect for gifting",Happilo's Celebration Date Bites in an elegant tin box. Premium dates stuffed with wholesome fillings. Perfect for gifting on festivals and special occasions.,Dates,Date Bites,Happilo,HAP-DTB-TIN-200,,399,499,305,5,0804,100,200,g,300,1,10,India,9 months,,"Dates, Nuts",Tree Nuts,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"date bites tin,gift dates,festival gift,stuffed dates",dates,Buy Happilo Celebration Date Bites Tin 200g,Premium date bites in elegant tin. Perfect festive gift.,,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918052/lotusmart/products/happilo/hap-dtb-tin-200.jpg,happilo-celebration-date-bites-tin-216g-premium-gift-healthy-snacks-made-with-dates-cashews-california-almonds-pistachios-honey-ghee
Happilo Date Bites Zesty Orange 200g,"Date bites with zesty orange flavour, naturally sweet, healthy snack","Happilo's Date Bites Zesty Orange — soft premium dates with a refreshing orange flavour. Naturally sweet, bite-sized and healthy. No artificial flavours.",Dates,Date Bites,Happilo,HAP-DTB-ONG-200,,299,399,228,5,0804,100,200,g,220,1,10,India,9 months,,"Dates, Orange Flavour",,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"date bites orange,zesty dates,healthy sweets,snacks",dates,Buy Happilo Date Bites Zesty Orange 200g,"Date bites with refreshing zesty orange flavour. Naturally sweet, no artificial flavours.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918055/lotusmart/products/happilo/hap-dtb-ong-200.jpg,happilo-premium-date-bites-zesty-orange
Happilo Date Bites Cranberry 200g,"Date bites with cranberry filling, sweet-tart, healthy bite-sized snack","Happilo's Date Bites Cranberry — soft premium dates with tangy cranberry filling. Sweet-tart flavour, bite-sized and healthy. No added preservatives.",Dates,Date Bites,Happilo,HAP-DTB-CRN-200,,299,399,228,5,0804,100,200,g,220,1,10,India,9 months,,"Dates, Cranberry",,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"date bites cranberry,stuffed dates,healthy snack,sweet tart",dates,Buy Happilo Date Bites Cranberry 200g,"Date bites with tangy cranberry filling. Naturally sweet, no preservatives.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918057/lotusmart/products/happilo/hap-dtb-crn-200.jpg,happilo-premium-date-bites-cranberry
Happilo Nutritious Daily Super Fitness Trail Mix 200g,"Fitness trail mix with nuts, seeds and berries, high protein, gluten-free","Happilo's Super Fitness Trail Mix is a perfect blend of premium nuts, seeds and dried berries. High in protein, Omega-3 and antioxidants. Ideal for fitness enthusiasts and daily healthy snacking.",Mixes,Fitness Mix,Happilo,HAP-MIX-FIT-200,,249,329,190,5,2008,100,200,g,220,1,10,India,12 months,,"Mixed Nuts, Seeds, Dried Fruits",Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"trail mix,fitness mix,nuts mix,healthy snack,protein mix",mix,Buy Happilo Super Fitness Trail Mix 200g,"Fitness trail mix with premium nuts, seeds and berries. High protein, gluten-free.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918418/lotusmart/products/happilo/hap-mix-fit-200.png,daily-super-fitness-mix
Happilo Nutritious Daily Super Fitness Trail Mix 400g,"Fitness trail mix 400g, high protein nuts seeds and berries blend","Happilo's Super Fitness Trail Mix 400g. Perfect blend of premium nuts, seeds and dried berries. High in protein, Omega-3 and antioxidants.",Mixes,Fitness Mix,Happilo,HAP-MIX-FIT-400,,449,579,342,5,2008,100,400,g,420,1,10,India,12 months,,"Mixed Nuts, Seeds, Dried Fruits",Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"trail mix,400g,fitness,nuts,seeds,berries",mix,Buy Happilo Super Fitness Trail Mix 400g,"400g fitness trail mix with premium nuts, seeds and berries.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918421/lotusmart/products/happilo/hap-mix-fit-400.png,daily-super-fitness-mix
Happilo Sweet & Crunchy Premium Seeds & Berries Mix 200g,"Sweet and crunchy seeds and berries mix, antioxidant-rich healthy snack","Happilo's Sweet & Crunchy Seeds & Berries Mix is a delightful combination of premium seeds and dried berries. Rich in antioxidants, Vitamin C and fibre. A perfect snack for any time.",Mixes,Berries Mix,Happilo,HAP-MIX-SBR-200,,229,299,175,5,2008,100,200,g,220,1,10,India,12 months,,"Seeds, Dried Berries, Sugar",,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"seeds berries mix,antioxidants,healthy snack,trail mix",mix,Buy Happilo Seeds and Berries Mix 200g,"Sweet and crunchy seeds and berries mix, rich in antioxidants.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918064/lotusmart/products/happilo/hap-mix-sbr-200.png,happilo-premium-international-seeds-berries
Happilo 6 in 1 Super Seeds & Nuts Mix 200g,"6-in-1 super seeds and nuts mix, powerhouse of nutrition","Happilo's 6 in 1 Super Seeds & Nuts Mix combines 6 premium seeds and nuts for maximum nutrition. Rich in Omega-3, protein, zinc and antioxidants. Gluten-free, non-GMO.",Mixes,Nutty Trail Mix,Happilo,HAP-MIX-6IN1-200,,249,329,190,5,2008,100,200,g,220,1,10,India,12 months,,"Mixed Seeds, Mixed Nuts",Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"super seeds mix,nuts mix,6 in 1,omega 3,protein mix",mix,Buy Happilo 6 in 1 Super Seeds Nuts Mix 200g,"6-in-1 super seeds and nuts mix, rich in Omega-3 and protein. Gluten-free.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918430/lotusmart/products/happilo/hap-mix-6in1-200.jpg,super-seeds-and-nuts-mix
Happilo Roasted Party Mix 150g,"Crunchy roasted party mix with nuts and seeds, perfect party snack","Happilo's Roasted Party Mix is a crunchy and flavourful mix of roasted nuts and seeds. Perfect for parties, gatherings and on-the-go snacking. No preservatives.",Mixes,Roasted Party Mix,Happilo,HAP-MIX-PRT-150,,149,199,114,5,2008,100,150,g,170,1,10,India,6 months,,"Mixed Roasted Nuts, Seeds, Spices",Tree Nuts,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"party mix,roasted nuts,snack mix,crunchy snack",mix,Buy Happilo Roasted Party Mix 150g,Crunchy roasted party mix with nuts and seeds. Perfect party snack.,,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918435/lotusmart/products/happilo/hap-mix-prt-150.jpg,happilo-premium-international-roasted-party-mix
Happilo Nuts & Berries Mix 200g,"Premium nuts and berries mix, protein-rich and antioxidant-packed","Happilo's Nuts & Berries Mix combines premium nuts with dried berries for a wholesome snack. Rich in protein, antioxidants and fibre. Gluten-free, non-GMO.",Mixes,Nuts & Berries Mix,Happilo,HAP-MIX-NBR-200,,249,329,190,5,2008,100,200,g,220,1,10,India,12 months,,"Mixed Nuts, Dried Berries",Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"nuts berries mix,antioxidants,protein,trail mix,healthy snack",mix,Buy Happilo Nuts and Berries Mix 200g,"Premium nuts and berries mix, rich in protein and antioxidants. Gluten-free.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918073/lotusmart/products/happilo/hap-mix-nbr-200.jpg,happilo-premium-international-nuts-berries
Happilo Champion Mix 150g,"Champion mix of premium nuts and seeds, high protein energy booster",Happilo's Champion Mix is a power-packed blend of premium nuts and seeds. High in protein and energy. Perfect for athletes and fitness enthusiasts.,Mixes,Champion Mix,Happilo,HAP-MIX-CHP-150,,199,259,152,5,2008,100,150,g,170,1,10,India,9 months,,"Mixed Nuts, Seeds",Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"champion mix,protein mix,energy booster,nuts seeds,fitness",mix,Buy Happilo Champion Mix 150g,"Champion mix of premium nuts and seeds. High protein, perfect for athletes.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918443/lotusmart/products/happilo/hap-mix-chp-150.jpg,happilo-premium-international-nuts-berries
Happilo Popular Nuts Combo 800g (Almonds Cashews Raisins Pistachios),"Popular nuts combo with almonds, cashews, raisins and pistachios 800g","Happilo's Popular Nuts Combo includes premium Californian Almonds (200g), Whole Cashews (200g), Seedless Green Raisins (250g) and Iranian Pistachios (200g). A complete dry fruit gifting solution.",Combos,Nuts Combo,Happilo,HAP-CMB-800,,999,1299,760,5,2008,50,800,g,900,1,5,India,12 months,,"Almonds, Cashews, Raisins, Pistachios",Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"dry fruits combo,nuts combo,gift pack,almonds cashews,festival gift",combo,Buy Happilo Popular Nuts Combo 800g,"Popular dry fruits combo with almonds, cashews, raisins and pistachios. Perfect gift.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918446/lotusmart/products/happilo/hap-cmb-800.jpg,happilo-premium-international-nuts-berries
Happilo Premium Dry Fruit Combo 1400g (Almond Cashews Pistachios Walnuts),"Premium dry fruit combo 1400g with almonds, cashews, pistachios and walnuts","Happilo's Premium Dry Fruit Combo 1400g includes Almonds (500g), Whole Cashews (500g), Pistachios (200g) and Inshell Walnuts (200g). A premium gifting solution for families.",Combos,Nuts Combo,Happilo,HAP-CMB-1400,,2499,3299,1900,5,2008,30,1400,g,1500,1,3,India,12 months,,"Almonds, Cashews, Pistachios, Walnuts",Tree Nuts,"FSSAI,Non-GMO,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"premium combo,1400g,dry fruits gift,almonds cashews walnuts",combo,Buy Happilo Premium Dry Fruit Combo 1400g,"Premium 1400g dry fruit combo with almonds, cashews, pistachios and walnuts.",,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918080/lotusmart/products/happilo/hap-cmb-1400.png,happilo-premium-dry-fruit-combo-1400g-almond-500g-cashews-500g-pistachios-200g-inshell-walnuts-200g
Happilo Dry Fruit Celebrations Gift Box 200g,"Elegant dry fruit celebrations gift box, perfect for festivals and occasions","Happilo's Dry Fruit Celebrations Gift Box is an elegant gifting solution. Contains a curated selection of premium dry fruits in a beautiful presentation box. Perfect for Diwali, Eid and corporate gifting.",Combos,Gift Box,Happilo,HAP-GFT-200,,599,799,456,5,2008,50,200,g,400,1,5,India,9 months,,"Assorted Dry Fruits, Nuts",Tree Nuts,"FSSAI,Gluten Free",No,Yes,Yes,ASSIDUUS DISTRIBUTION PVT LTD,"gift box,dry fruits gift,diwali gift,festival hamper,corporate gift",combo,Buy Happilo Dry Fruit Celebrations Gift Box,Elegant dry fruit gift box for festivals. Premium dry fruits in beautiful packaging.,,Active,https://res.cloudinary.com/dqlmiarqk/image/upload/v1778918083/lotusmart/products/happilo/hap-gft-200.png,happilo-dry-fruit-celebrations-gift-box-zefa-400g
